row,0,1,2,3,4,5
1,136.0,78.5,23.0,-36.0,-92.5,-150.5
2,-122.5,-65.0,-7.5,50.0,106.5,
3,135.5,78.0,20.5,-36.5,-94.5,-152.0
4,-123.5,-65.5,-9.5,49.0,106.0,
5,134.5,78.0,20.0,-37.5,-95.5,-152.0
6,-123.5,-66.0,-8.5,49.0,107.0,
7,134.5,78.0,20.0,-37.5,-95.5,-152.5
8,-124.0,-67.0,-9.5,49.0,106.5,
9,134.0,77.5,19.5,-38.5,-96.5,-153.5
10,-125.0,-68.0,-10.5,48.0,105.5,
11,133.0,76.5,18.5,-39.5,-97.0,-154.0
12,-125.5,-68.5,-11.0,47.5,105.0,
13,132.5,76.0,18.0,-40.0,-97.5,-154.5
14,-126.0,-68.5,-11.0,46.5,104.0,
15,131.5,75.0,17.0,-40.5,-98.0,-155.0
16,-126.5,-71.5,-75.5,-19.03,100.0,
