row,col,x,y
1,1,136.0,-296.5
1,2,78.5,-296.0
1,3,23.0,-295.0
1,4,-36.0,-294.5
1,5,-92.5,-292.5
1,6,-150.5,-291.5
2,1,-122.5,-309.0
2,2,-65.0,-310.0
2,3,-7.5,-311.0
2,4,50.0,-313.0
2,5,106.5,-313.5
3,1,135.5,-330.5
3,2,78.0,-330.0
3,3,20.5,-328.5
3,4,-36.5,-327.5
3,5,-94.5,-326.0
3,6,-152.0,-324.0
4,1,-123.5,-341.0
4,2,-65.5,-342.5
4,3,-9.5,-345.0
4,4,49.0,-345.5
4,5,106.0,-347.0
5,1,134.5,-363.0
5,2,78.0,-362.5
5,3,20.0,-361.5
5,4,-37.5,-360.5
5,5,-95.5,-359.0
5,6,-152.0,-357.0
6,1,-123.5,-374.5
6,2,-66.0,-376.5
6,3,-8.5,-378.0
6,4,49.0,-378.5
6,5,107.0,-380.0
7,1,134.5,-397.0
7,2,78.0,-396.5
7,3,20.0,-395.5
7,4,-37.5,-393.0
7,5,-95.5,-392.0
7,6,-152.5,-390.0
8,1,-124.0,-407.0
8,2,-67.0,-409.0
8,3,-9.5,-410.5
8,4,49.0,-412.0
8,5,106.5,-413.5
9,1,134.0,-430.0
9,2,77.5,-429.5
9,3,19.5,-428.5
9,4,-38.5,-426.0
9,5,-96.5,-425.0
9,6,-153.5,-423.0
10,1,-125.0,-440.0
10,2,-68.0,-442.0
10,3,-10.5,-443.5
10,4,48.0,-445.0
10,5,105.5,-445.5
11,1,133.0,-463.0
11,2,76.5,-461.5
11,3,18.5,-459.5
11,4,-39.5,-459.0
11,5,-97.0,-458.0
11,6,-154.0,-456.0
12,1,-125.5,-474.0
12,2,-68.5,-476.0
12,3,-11.0,-476.0
12,4,47.5,-477.5
12,5,105.0,-479.0
13,1,132.5,-496.5
13,2,76.0,-495.0
13,3,18.0,-493.0
13,4,-40.0,-492.5
13,5,-97.5,-491.5
13,6,-154.5,-489.5
14,1,-126.0,-507.5
14,2,-68.5,-508.0
14,3,-11.0,-509.5
14,4,46.5,-510.5
14,5,104.0,-512.0
15,1,131.5,-528.5
15,2,75.0,-527.0
15,3,17.0,-526.0
15,4,-40.5,-525.5
15,5,-98.0,-524.5
15,6,-155.0,-522.5
16,1,-126.5,-540.5
16,2,-71.5,-542.0
16,3,-75.5,-566.5
16,4,-19.03,-568.25
16,5,100.0,-544.0
